College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 157  Long Beach State        =  73.06   17  12   71.02( 217)    0   0  |    0   0  |   72.69  158 |   73.09  149
 158  Saint Peter's           =  73.06   17  15   73.67( 142)    0   1  |    0   2  |   74.07  145 |   71.71  167
 159  Georgia Southern        =  72.59   18   9   68.69( 281)    0   0  |    0   1  |   73.82  149 |   71.00  179
 160  Santa Clara             =  72.57   11  16   75.13(  98)    0   1  |    0   3  |   72.38  165 |   72.42  160
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 161  Detroit                 =  72.36   14  16   74.09( 125)    0   0  |    0   1  |   72.99  155 |   71.38  172
 162  San Francisco           =  72.33   11  17   75.00( 101)    0   0  |    0   2  |   71.84  174 |   72.47  159
 163  Louisiana-Lafayette     =  72.30   13  16   74.72( 107)    0   0  |    0   3  |   72.51  162 |   71.74  166
 164  Wright State            =  72.19   12  15   73.13( 162)    0   0  |    0   0  |   72.05  173 |   71.98  164
 165  IUPUI                   =  72.16   17  10   69.69( 261)    0   0  |    0   0  |   72.69  159 |   71.29  174
 166  Tennessee Tech          =  72.06   17  12   71.07( 214)    0   0  |    0   2  |   73.90  148 |   69.84  195
 167  Evansville              =  71.99   10  19   76.69(  74)    0   0  |    0   2  |   72.50  163 |   71.13  177
 168  Sacramento State        =  71.95   13  15   72.91( 167)    0   0  |    0   2  |   71.07  182 |   72.47  158
 169  Illinois State          =  71.93    8  19   77.02(  72)    0   0  |    0   3  |   71.20  180 |   72.32  162
 170  Loyola-Maryland         =  71.93   15  13   72.21( 187)    0   0  |    0   0  |   72.97  156 |   70.54  182
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
 171  Coastal Carolina        =  71.83   16  10   69.61( 263)    0   0  |    0   0  |   73.82  150 |   69.44  202
 172  Valparaiso              =  71.67   16  12   69.99( 253)    0   1  |    0   2  |   70.48  190 |   72.50  156
 173  Birmingham-Southern     =  71.66   17   9   67.84( 298)    0   0  |    0   0  |   72.63  160 |   70.34  187
 174  UC Santa Barbara        =  71.57   14  14   71.11( 211)    0   1  |    0   1  |   70.28  192 |   72.50  157
 175  CS Fullerton            =  71.54   15  13   69.56( 265)    0   0  |    0   0  |   69.92  196 |   72.79  154
 176  Denver                  =  71.49   16  15   71.11( 210)    0   0  |    0   0  |   71.54  176 |   71.10  178
 177  College of Charleston   =  71.30   15  11   68.30( 289)    0   0  |    0   0  |   70.85  187 |   71.41  171
 178  Belmont              $  =  71.26   20  10   66.31( 319)    0   1  |    0   1  |   70.07  193 |   72.08  163
 179  Austin Peay             =  71.22   17  14   69.99( 254)    0   0  |    0   0  |   72.12  171 |   69.95  193
 180  Fairleigh Dickinson     =  71.14   19  11   68.53( 283)    0   0  |    0   0  |   71.46  177 |   70.48  183
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
